,,,地方行財政,,,,,,,,,,,,,,,,,,,,,,,,
,,,歳出 - 1人当たり（目的別）,,,,,,,,,,,,,,,,,,,,,,,,
No,都道府県,年度,中学校費 - 1人当たり（目的別）（都道府県財政）【千円】,住宅費 - 1人当たり（目的別）（都道府県財政）【千円】,児童福祉費 - 1人当たり（目的別）（都道府県財政）【千円】,公債費 - 1人当たり（目的別）（都道府県財政）【千円】,労働費 - 1人当たり（目的別）（都道府県財政）【千円】,商工費 - 1人当たり（目的別）（都道府県財政）【千円】,土木費 - 1人当たり（目的別）（都道府県財政）【千円】,小学校費 - 1人当たり（目的別）（都道府県財政）【千円】,教育費 - 1人当たり（目的別）（都道府県財政）【千円】,歳出決算総額 - 1人当たり（目的別）（都道府県財政）【千円】,民生費 - 1人当たり（目的別）（都道府県財政）【千円】,消防費 - 1人当たり（目的別）（都道府県財政）【千円】,災害復旧費 - 1人当たり（目的別）（都道府県財政）【千円】,災害救助費 - 1人当たり（目的別）（都道府県財政）【千円】,生活保護費 - 1人当たり（目的別）（都道府県財政）【千円】,社会福祉費 - 1人当たり（目的別）（都道府県財政）【千円】,総務費 - 1人当たり（目的別）（都道府県財政）【千円】,老人福祉費 - 1人当たり（目的別）（都道府県財政）【千円】,衛生費 - 1人当たり（目的別）（都道府県財政）【千円】,警察費 - 1人当たり（目的別）（都道府県財政）【千円】,議会費 - 1人当たり（目的別）（都道府県財政）【千円】,農林水産業費 - 1人当たり（目的別）（都道府県財政）【千円】,道路橋りょう費 - 1人当たり（目的別）（都道府県財政）【千円】,都市計画費 - 1人当たり（目的別）（都道府県財政）【千円】,高等学校費 - 1人当たり（目的別）（都道府県財政）【千円】
24,全国,1998,18.812,7.587,8.660,40.570,2.113,34.058,92.148,31.632,98.344,431.930,30.331,,2.863,0.085,2.375,8.253,23.722,10.958,15.492,27.333,0.760,40.000,38.106,16.825,21.826
25,全国,1999,18.458,7.544,8.654,44.560,3.732,30.557,88.893,31.283,96.219,427.824,31.075,,3.584,0.183,2.449,8.096,24.722,11.692,14.764,26.985,0.713,38.709,35.312,17.068,20.967
26,全国,2000,18.099,6.639,9.208,49.123,2.494,27.748,80.566,30.934,95.285,420.713,32.327,,2.679,0.102,2.517,7.914,25.855,12.586,12.838,27.015,0.704,36.148,33.015,14.723,20.497
27,全国,2001,18.070,6.217,9.772,51.143,4.971,27.590,75.375,31.072,94.659,415.676,34.674,,2.117,0.021,2.659,8.547,23.483,13.675,12.679,26.657,0.701,33.796,31.696,13.376,20.239
28,全国,2002,17.864,5.426,9.340,51.849,2.795,25.399,71.555,30.930,92.866,396.153,34.313,,1.826,0.019,2.679,7.930,22.328,14.346,12.448,26.728,0.679,31.331,29.813,13.798,19.534
29,全国,2003,17.335,5.159,7.503,52.375,2.007,24.920,64.915,30.279,91.191,383.080,31.064,,1.592,0.035,2.738,6.999,25.172,13.790,12.143,26.330,0.665,28.050,26.455,12.771,18.860
30,全国,2004,17.169,4.975,7.155,52.206,1.906,25.551,59.797,30.228,90.087,377.139,31.391,,2.399,0.433,2.697,6.834,24.933,14.272,11.837,26.122,0.659,25.899,24.202,11.827,18.481
31,全国,2005,17.136,4.422,6.839,56.741,1.331,23.914,56.135,30.357,88.737,374.689,34.516,,3.914,0.097,2.311,10.860,23.268,14.409,11.621,25.967,0.651,23.720,22.716,11.555,18.102
32,全国,2006,16.910,4.972,7.521,53.954,1.172,24.799,53.755,29.925,88.593,371.662,38.023,,2.626,0.034,1.919,13.247,23.591,15.302,10.982,26.223,0.638,22.297,21.505,10.679,17.686
33,全国,2007,16.837,4.915,7.652,51.622,1.167,26.241,51.176,29.637,88.516,370.907,40.378,,1.869,0.158,1.848,15.314,26.218,15.405,10.819,26.358,0.626,20.273,20.294,10.305,17.301
34,全国,2008,16.440,4.733,8.615,52.689,4.197,28.470,48.915,28.812,86.332,369.671,42.909,,0.997,0.034,1.865,15.139,24.854,17.255,10.903,25.957,0.620,19.015,19.244,10.107,16.627
35,全国,2009,16.050,4.770,9.440,51.605,6.189,33.477,51.622,27.897,85.340,392.443,52.828,,0.604,0.060,1.980,17.610,27.071,23.737,14.552,25.871,0.596,20.505,20.741,10.162,16.379
36,全国,2010,15.979,4.213,10.694,53.168,5.369,34.308,44.644,27.659,85.208,383.106,50.103,,0.679,0.156,2.081,15.669,30.027,21.503,13.386,25.118,0.587,18.450,18.244,8.893,16.029
37,全国,2011,16.075,4.288,11.207,53.420,6.959,35.538,42.348,27.555,85.911,398.687,58.607,,3.197,5.692,2.128,16.784,26.523,22.796,19.916,25.167,0.649,18.509,17.073,8.180,16.136
38,全国,2012,15.894,3.496,11.379,54.880,5.108,33.733,41.575,27.048,85.135,387.810,57.232,,4.750,2.707,2.122,17.538,24.127,23.485,15.037,24.988,0.616,18.248,16.879,8.163,15.717
39,全国,2013,15.443,3.621,10.818,56.115,4.061,32.089,44.294,26.065,83.180,392.839,59.034,,4.585,6.108,2.128,17.321,26.944,22.660,13.620,24.303,0.599,20.520,18.562,8.144,15.392
40,全国,2014,15.887,4.103,12.159,58.835,2.529,29.378,43.451,26.695,85.800,394.661,59.745,,3.817,4.087,2.135,18.324,27.343,23.040,13.152,25.127,0.616,19.231,18.029,7.400,16.459
41,全国,2015,15.948,4.077,12.469,56.745,2.322,28.706,41.169,26.632,86.723,399.161,63.530,,3.782,4.823,2.008,19.814,24.531,24.416,13.944,25.424,0.614,17.916,17.035,7.024,16.836
42,全国,2016,15.952,3.963,13.155,54.485,1.531,27.360,43.781,26.588,87.486,395.565,67.396,,4.262,6.556,1.961,21.030,20.826,24.694,13.468,25.690,0.621,17.852,18.890,7.462,16.801
43,全国,2017,13.099,3.677,13.620,55.886,1.301,25.395,43.220,21.897,78.760,390.261,63.711,,4.521,2.450,1.946,20.439,22.415,25.256,13.238,25.756,0.612,18.484,18.300,7.415,16.405
44,全国,2018,12.967,3.415,13.890,53.822,1.204,24.389,43.927,21.969,79.068,387.189,61.630,,5.194,1.384,1.913,18.918,21.951,25.525,12.476,26.108,0.612,18.591,18.092,7.714,16.480
45,全国,2019,12.881,3.318,15.048,52.680,1.195,24.027,46.798,21.998,80.694,391.061,64.857,,4.683,1.389,1.922,20.115,24.643,26.383,12.534,26.621,0.618,19.320,19.350,7.652,16.426
46,全国,2020,12.658,3.125,16.490,52.459,1.839,67.463,49.906,21.828,80.821,473.311,77.131,,4.725,0.771,1.854,28.478,23.759,29.538,32.027,26.331,0.598,19.867,21.245,7.536,16.497
47,全国,2021,12.576,3.231,16.491,56.103,1.533,96.474,50.282,21.663,81.819,528.471,74.419,,3.480,0.336,1.878,27.066,35.823,28.648,41.181,26.254,0.602,19.434,21.994,7.120,16.772
48,全国,2022,12.672,3.156,17.772,54.381,1.426,61.897,49.043,21.839,80.425,494.126,74.303,,2.666,0.185,1.867,23.737,32.751,30.741,47.769,26.655,0.605,19.594,20.941,7.426,16.446
49,全国,2023,12.703,3.350,19.192,53.582,1.483,49.415,49.140,22.115,78.431,455.540,75.609,,2.730,0.478,1.901,22.875,30.698,31.162,23.187,26.875,0.621,19.786,20.548,7.358,16.402
50,東京都,1975,6.238,7.856,3.493,9.036,1.720,5.816,30.888,12.408,32.239,162.106,11.726,6.440,0.125,0.055,0.479,4.753,10.633,2.946,16.430,17.633,0.197,0.664,1.980,18.433,6.961
51,東京都,1976,7.709,7.745,4.027,12.524,1.668,5.989,28.996,15.290,38.965,179.738,13.135,6.949,0.070,0.052,0.503,5.210,11.025,3.343,17.167,20.313,0.212,0.708,2.069,16.189,8.159
52,東京都,1977,7.858,9.769,4.507,15.485,1.858,7.245,36.597,15.336,41.071,203.033,15.059,7.214,0.063,0.042,0.583,6.109,12.076,3.817,17.973,21.468,0.229,0.829,3.306,20.325,8.845
53,東京都,1978,8.477,9.528,4.755,19.901,1.925,8.304,42.450,16.329,44.393,224.740,16.943,7.713,0.045,0.040,0.648,7.055,13.209,4.445,18.377,22.977,0.244,0.935,3.468,26.010,9.099
54,東京都,1979,8.831,11.462,4.528,21.201,1.839,8.778,43.628,17.050,48.778,238.289,18.032,8.259,0.133,0.085,0.691,7.587,15.164,5.141,17.494,25.500,0.268,1.036,3.692,24.786,9.407
55,東京都,1980,9.543,12.342,4.305,23.983,1.947,8.199,45.996,18.248,51.378,249.778,16.632,8.650,0.133,0.061,0.663,6.566,15.363,5.038,21.605,27.773,0.275,1.109,3.739,25.931,10.505
56,東京都,1981,10.233,13.380,4.625,27.485,2.031,9.117,49.826,19.368,57.062,271.556,16.612,9.392,0.167,0.124,0.713,5.879,17.998,5.270,21.240,29.319,0.296,1.155,3.821,28.243,11.594
57,東京都,1982,10.474,12.742,4.737,30.377,1.801,10.794,48.474,19.248,58.061,278.912,17.863,9.613,0.409,0.125,0.784,6.578,18.496,5.639,20.673,28.482,0.340,1.142,3.989,27.045,11.557
58,東京都,1983,10.928,14.121,5.150,31.233,1.911,10.917,50.872,19.697,61.631,289.787,18.863,10.018,0.353,0.223,0.784,6.666,18.525,6.039,19.964,29.973,0.340,1.179,4.405,27.891,12.423
59,東京都,1984,11.396,13.322,5.514,33.666,1.878,11.989,52.864,20.101,63.044,310.145,19.896,10.647,0.307,0.088,0.822,6.972,23.083,6.499,19.831,30.801,0.341,1.167,4.797,30.260,12.144
60,東京都,1985,11.920,14.168,5.614,37.773,1.965,13.094,58.304,20.562,67.547,335.235,22.121,11.238,0.139,0.047,1.138,7.562,27.021,7.760,22.848,31.340,0.351,1.262,5.747,32.592,13.750
61,東京都,1986,12.237,14.929,6.194,36.376,2.449,15.122,64.264,20.686,70.076,350.980,23.989,11.855,0.101,0.195,1.168,8.729,27.441,7.703,21.831,32.514,0.381,1.405,6.516,37.492,13.573
62,東京都,1987,12.363,15.210,6.586,36.830,2.059,16.348,87.219,20.681,70.836,436.767,25.700,12.418,0.224,0.057,1.193,9.374,38.488,8.490,23.559,33.905,0.395,1.685,7.923,56.909,13.490
63,東京都,1988,12.509,16.739,7.155,33.757,2.049,18.944,104.690,21.218,74.870,470.144,27.817,14.514,0.391,0.079,1.236,10.284,39.470,9.063,27.743,36.695,0.411,1.709,8.924,70.565,14.932
64,東京都,1989,12.524,20.350,9.257,31.230,2.161,21.976,145.371,21.609,78.226,518.854,31.606,15.577,0.217,0.119,1.099,11.031,41.599,10.100,32.105,38.860,0.415,2.072,10.299,71.014,15.749
65,東京都,1990,13.109,23.735,8.808,30.955,2.375,22.692,141.469,22.843,83.705,549.654,33.230,17.072,0.191,0.163,1.051,12.333,58.631,10.876,33.583,42.926,0.468,2.034,12.086,81.933,17.254
