目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
１１４．中学校卒業生の進路状況の推移（令和2～令和6年）,,,,,,,,,（各年3月卒業者）
年次,卒業者数,,,高等学校等進学,,,就職,,
,総数,男,女,総数(人),男（％）,女（％）,総数（人）,男（％）,女（％）
令和2年,1905,993,912,1884,99.6,99.7,-,-,-
3,1932,1014,918,1921,99.3,99.6,-,-,-
4,2015,1019,996,2000,99.3,99.2,-,-,-
5,2069,1067,1002,2053,99,99.5,1,0.1,-
6,2147,1144,1003,2141,99.6,99.9,0,-,-
資料　東京都総務局統計部人口統計課「学校基本調査報告」,,,,,,,,,
