目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
５３．工事別利用関係別着工住宅（令和元～令和5年）,,,,,,,,,,,,,,,,,,,,,
（単位：面積㎡）,,,,,,,,,,,,,,,,,,,,,
,総数,新設,,,,,,,,,,その他,,,,,,,,,
年次,床面積の合計,総数,,持家,,貸家,,給与住宅,,分譲住宅,,総数,,持家,,貸家,,給与住宅,,分譲住宅,
,,戸数,床面積の合計,戸数,床面積の合計,戸数,床面積の合計,戸数,床面積の合計,戸数,床面積の合計,件数,床面積の合計,件数,床面積の合計,件数,床面積の合計,件数,床面積の合計,件数,床面積の合計
令和元年,220231,4126,219009,345,38682,2611,98024,86,7449,1084,74854,27,1222,4,318,4,58,19,846,-,-
2,248734,4487,248098,339,37488,2874,130747,86,4364,1188,75499,22,636,-,-,7,218,15,418,-,-
3,181707,3358,181475,332,36817,2127,82431,-,-,899,62227,6,232,1,15,1,117,4,100,-,-
4,278836,4445,278657,358,41206,2159,86131,1,100,1927,151220,4,179,1,16,1,40,2,123,-,-
5,203369,3706,202697,336,37020,2471,105642,10,293,889,59742,6,672,4,460,-,-,2,212,-,-
注）　本表は建築基準法の規定により建築主から知事に届出のあった建築工事届により着工住宅を工事別に分類したもので，「新設」とは建築物の新築・増築又は改築によって住宅の戸が新たに造られるものである。,,,,,,,,,,,,,,,,,,,,,
資料　東京都都市整備局市街地建築部建築企画課「建築統計年報」,,,,,,,,,,,,,,,,,,,,,
