目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3
１４０．審議会への女性委員登用率（令和2～令和6年度）,,,
年度,構成員数,うち女性の人数,女性が占める割合（％）
令和2年,1111,397,35.7
3,1113,397,35.7
4,1435,626,43.62
5,1496,653,43.6
6,1567,701,44.7
資料　中野区「審議会等における女性の参画状況調査」,,,
