目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3
４５．納税義務者一人当たりの課税所得の推移（令和2～令和6年度、各年7月1日現在）,,,
年度,納税義務者数,総所得金額,"納税義務者1人当たり
総所得金額"
令和2年度,190531,758850596,3982820
3,192661,790569091,4103420
4,194168,828411837,4266469
5,194655,842642651,4328903
6,191683,875013775,4564900
資料　中野区「税務概要」,,,
