目次へ,Unnamed: 1
５９．都市計画道路の整備率（令和2～令和6年）,
年次,整備率
令和2年,0.42
3,－
4,0.4187
5,0.4187
6,0.4187
資料　中野区「区内の都市計画道路一覧」,
