目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
５６．土地利用の状況（平成28年，令和3年）,,,,,,,,,,,,
,建物棟数,,平均敷地面積,,中高層化率,,平均階数,,不燃化率（建築面積ベース）,,不燃化率（延べ面積ベース）,
,平成28年,令和3年,平成28年,令和3年,平成28年,令和3年,平成28年,令和3年,平成28年,令和3年,平成28年,令和3年
中野区,64178,64637,174.6,173,0.202,0.22,2.4,2.5,0.565,0.611,0.713,0.748
特別区平均,73122,73718,218,218.6,0.301,0.312,2.6,2.6,0.656,0.683,0.82,0.839
,,,,,,,,,,,,
,,,,,,,,,,,,
（令和3年）,建ぺい率,,容積率,,建物構造比率,,,,,,,
,グロス,ネット,グロス,ネット,耐火造,準耐火造,防火造,木造,,,,
中野区,0.399,0.556,1.206,1.679,0.417,0.194,0.355,0.035,,,,
特別区平均,0.304,0.514,1.163,1.965,0.494,0.189,0.29,0.027,,,,
資料　東京都都市整備局都市づくり政策部土地利用計画課「東京の土地利用（令和3年東京都区部）」,,,,,,,,,,,,
