目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
７８．リサイクル資源回収状況（平成31～令和5年度）,,,,
（単位：ｋｇ）,,,,
年度,集団回収,分別回収,拠点回収,ピックアップ回収
平成31年度,12567937,6960396,175181,2350377
令和2年度,12690280,7640545,169490,2407146
3,12310587,7556279,169827,2235237
4,11860634,7265092,163540,1993085
5,11120170,6956058,158473,1885914
注）　回収品目：びん，スチール缶，アルミ缶，新聞，雑誌，ダンボール，プラスチック製容器包装，乾電池，,,,,
　　　紙パック，布類，ペットボトル，小型家電（9品目），蛍光管，廃食用油,,,,
　　　平成29年度から陶器・ガラス・金属をピックアップ回収に計上,,,,
資料　ごみゼロ推進課,,,,
