目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
１９．世帯人員別一般世帯数及び一般世帯人員（令和2年10月1日）,,,,,,,,,,,,,,,
年次,一般世帯数,,,,,,,,,,,一般世帯人員,1世帯当たり人員,"（再掲）
間借り・下宿などの単身者","（再掲）
会社などの独身寮の単身者"
,総数,世帯人員が1人,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10人以上,,,,
令和2年,207944,129649,42006.0,20539.0,12701.0,2517.0,426.0,88.0,15.0,2.0,1,341989,1.64,3604,1225
資料　総務省統計局「令和2年国勢調査人口等基本集計」,,,,,,,,,,,,,,,
