目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
５１．住宅の耐震化率の推計値（令和2年度末）,,,,,,（単位：戸）
構造,昭和56年以前の住宅,昭和57年以降の住宅,住宅合計,耐震性を満たす住宅,耐震性が不十分な住宅,耐震化率（令和2年度末）
,A,B,A+B=C,D,C-D,D/C
木造,15760,53399,69159,59105,10054,0.855
非木造,21871,115049,136920,126853,10067,0.927
合計,37631,168448,206079,185958,20121,0.903
注）　平成30年住宅・土地統計調査をもとに東京都の耐震化率の推計方法に準じて算定した推計値,,,,,,
資料　中野区「耐震改修促進計画」,,,,,,
