目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
１２１．区立図書館分類別蔵書数及び視聴覚資料所蔵数の推移（令和2～令和6年）,,,,,,,,,
図書,,,,,,,,,
（単位：冊）,,,,,,,,,（各年3月31日現在）
年次,総数,中央,野方,南台,鷺宮,江古田,上高田,中野東,分室合計
令和2年,984327,510763,69786,64502,67389,65983,62701,-,-
3,988072,511776,71105,65422,68524,66314,62222,-,-
4,942280,508053,72646,65892,62738,67216,64932,100803,6927
5,945096,489015,71383,65052,58695,67520,67188,118958,7285
6,964496,495676,70977,63142,58227,66995,67386,132427,9616
,,,,,,,,,
総記,35722,21673,2565,1878,1758,1841,1838,3928,241
哲学,36322,19265,3175,2247,2263,2106,2224,4934,108
歴史,86423,51252,5913,4725,4607,4824,5247,9597,258
社会科学,153801,94393,9363,7560,7706,9117,7994,17435,233
自然科学,70136,34677,5091,4589,4496,5774,4815,10162,532
工学,64700,32515,4837,3476,4345,4340,5008,9984,195
産業,30902,15872,2216,1767,1849,2139,2066,4915,78
芸術,78244,39826,5437,5132,4522,5930,6960,10005,432
語学,17780,9449,1154,985,954,1300,1072,2703,163
文学,306372,147053,24739,23359,19569,22663,21999,42715,4275
絵本,78427,28745,5879,6638,5578,6144,7529,14915,2999
紙芝居,5667,956,608,786,630,817,634,1134,102
,,,,,,,,,
視聴覚資料,,,,,,,,,
（単位：点）,,,,,,,,（各年3月31日現在）,
年次,総数,中央,野方,南台,鷺宮,江古田,上高田,中野東,
令和2年,31834,17402,1329,1876,2195,1959,2318,-,
3,31376,16908,1342,1885,2212,1958,2324,-,
4,31199,16402,1368,1938,2147,2031,2353,4960,
5,30583,15760,1410,1876,2039,2065,2326,5105,
6,30400,15297,1435,1927,1987,2151,2329,5274,
,,,,,,,,,
ＣＤ,24190,9111,1435,1927,1987,2129,2329,5272,
カセット,110,90,－,－,－,20,－,－,
レコード,2387,2387,－,－,－,－,－,－,
ビデオテープ,1571,1571,－,－,－,－,－,－,
ＤＶＤ,514,510,－,－,－,2,－,2,
16ｍｍフイルム,1628,1628,－,－,－,－,－,－,
注）　本町・東中野図書館は令和3年10月31日に閉館。中野東図書館は令和4年2月1日に開館。,,,,,,,,,
注）　分室合計は、みなみの小分室、美鳩小分室、中野第一小分室の合計。,,,,,,,,,
注）　分室合計は、視聴覚資料の所蔵なし。,,,,,,,,,
資料　中野区立図書館「中野の図書館」,,,,,,,,,
