目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
１１３．私立小学校への入学者数と公私比率（平成31～令和5年度）,,,,,
,平成31年度,令和2年度,令和3年度,令和4年度,令和5年度
区立（人）,1759,1879,1890,1846,1823
私立（人）,122,116,112,112,113
公立,93.5,94.2,94.4,94.3,94.2
・・,･･,･･,･･,･･,･･
私立,6.5,5.8,5.6,5.7,5.8
注）　人数は，各学区域における入学者数を表している。なお，区立は指定校変更により他校に就学した分を含む。,,,,,
資料　中野区「予算特別委員会資料」,,,,,
