目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
５．地価公示（住宅地･商業地）の平均公示価格（令和2～令和6年）,,,,
（単位：円/㎡）,,,,（各年1月1日現在）
年次,住宅地,,商業地,
,中野区,区部全域,中野区,区部全域
令和2年,597000,631300,1215100,3208400
3,595600,631400,1210900,3103600
4,605800,641400,1245000,3066200
5,634700,665300,1317800,3125300
6,675000,704600,1439000,3307800
資料　東京都財務局財産運用部管理課「地価公示価格（東京都分）」,,,,
