目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
７５．バス路線別乗車人数（平成31～令和5年度）,,,,,,,,,
（単位：1日当たりの人数）,,,,,,,,,
会社・系統,,,路線距離（キロ）,,平成31年度,令和2年度,令和3年度,令和4年度,令和5年度
系統番号・路線名,,発～着,,,,,,,
,,関東バス,,,,,,,
宿02,椎名町線,新宿駅西口～丸山営業所,,6.7,2400,1233,1196,2063,2181.6803278688526
宿04,,新宿駅西口～阿佐谷営業所,,7.8,13,0,15,22,23.7103825136612
宿05,,新宿駅西口～野方駅,,6.8,3269,1641,1605,2696,2808.592896174863
中01,,中野駅北口～野方駅,,2.5,3857,2289,2037,2751,2866.1338797814205
宿08,,中野駅北口～新宿駅西口,,5.5,1735,1561,899,1666,1757.27868852459
阿45,,中野駅北口～阿佐ケ谷駅北口,,4.3,2992,1481,1448,2272,2419.532786885246
中10,茂呂線,中野駅北口～丸山営業所1）,,3.4,32,21,12,19,19.737704918032787
中12,,中野駅北口～江古田駅,,4.3,2676,1257,1298,1868,1932.3224043715848
中41,,中野駅北口～江古田駅,,4.9,2978,1744,1645,2393,2474.1666666666665
池11,池袋線,中野駅北口～池袋駅西口,,7.1,1803,1106,985,1427,1527.5218579234972
中30,,中野駅北口～丸山営業所,,3.7,185,97,60,91,97.7103825136612
中20,中村橋線,中野駅北口～丸山営業所2）,,2.5,155,137,135,175,191.06284153005464
中24,,中野駅北口～中村橋駅,,6.8,45,73,37,48,47.669398907103826
中27,,中野駅北口～江古田の森,,4.1,2540,2569,2253,2948,3137.1612021857923
中35,成宗線,中野駅北口～五日市街道営業所,,4.7,2434,1028,812,1173,1228.7704918032787
中36,,中野駅北口～吉祥寺駅,,9.6,3925,2926,2916,4191,4390.784153005465
赤31,赤羽線,高円寺駅北口～赤羽駅東口,,12.7,2285,1835,1531,1957,2064.8606557377047
高10,高円寺線,高円寺駅北口～練馬駅,,4.2,1737,33,22,33,36.55464480874317
高60,,高円寺駅北口～練馬駅,,4.8,2052,2471,2287,2782,2882.879781420765
高70,,高円寺駅北口～丸山営業所3）,,3.6,12,9,9,11,11.80327868852459
阿02,阿佐谷線,阿佐ケ谷駅北口～白鷺1丁目,,3.1,511,291,236,301,324.60109289617486
阿01,,阿佐ケ谷駅北口～中村橋駅,,3.8,8446,6030,5573,6952,7490.96174863388
荻04,日大線,荻窪駅北口～阿佐谷営業所4）,,2.9,247,173,128,187,199.09016393442624
荻05,,荻窪駅北口～白鷺1丁目,,3,9,8,4,8,8.382513661202186
荻06,,荻窪駅北口～中村橋駅,,5.4,3360,1785,1474,2155,2296.874316939891
荻07,,荻窪駅北口～練馬駅,,7,1677,944,1067,1548,1650.1092896174864
K01,中野線,中野駅～八成小学校,,6.1,323,272,245,319,331.39890710382514
中03,中練線,中野駅北口～練馬駅,,-,R2.11.16新設,350,318,685,807.7021857923497
,,,,,,,,,
,,国際興業バス5),,,,,3299,3598,3771
池11,中野線,池袋駅西口～中野駅,,7.18,2282,1500,-,-,-
赤31,高円寺線,赤羽駅東口～高円寺駅北口,,12.69,3100,2705,-,-,-
赤31‐2,,高円寺駅北口～赤羽車庫,,10.44,5,14,-,-,-
,,,,,,,,,
,,京王バス,,,,,,,
渋63,幡代線,渋谷駅（幡代）～中野駅6）,,9.31,7282,4234,6219,6589,6356
中83,中野新橋線,中野駅～南部高齢者会館,,8.33,185,84,173,167,…
宿45,新宿線,新宿駅西口（笹塚中学）～中野駅7）,,6.29,9000,4929,6858,7527,7190
渋64,初台線,中野駅（中野坂上）～渋谷駅8）,,8.65,6243,3607,5050,5448,5337
中92,練馬線,中野駅～練馬駅9）,,6.26,6088,3535,5180,5685,5021
宿33,方南線,永福町～新宿駅西口,,6.64,8088,4435,6291,6810,6232
中71,大宮線,中野駅～永福町,,6.99,2169,1227,1710,1784,1324
宿32,聖堂線,聖堂前（弥生町5丁目）～新宿駅西口,,4.55,5000,2739,4153,4650,4044
,,,,,,,,,
,,西武バス,,,,,,,
宿20,中井線,新宿駅西口～西武百貨店10）,,8.34,305,188,86,87,96
注） 　都営バスについては公表していないため、掲載していない。,,,,,,,,,
注1）　中12，41に含まれる。,,,,,,,,,
注2）　中24、27に含まれる。,,,,,,,,,
注3）　高60に含まれる。,,,,,,,,,
注4）　荻05，06，07に含まれる。,,,,,,,,,
注5)　 令和3年度より、国際興業バスの数値は3路線を合算したものである。,,,,,,,,,
注6）　新国立劇場～渋谷駅系統（代々木八幡経由）を含む。,,,,,,,,,
注7）　宿41  新宿駅西口～中野車庫（笹塚中学経由）を含む。,,,,,,,,,
注8）　中野車庫～渋谷駅系統（弥生町一丁目経由、幡代経由），中野車庫～中野駅系統（弥生町一丁目経由）を含む。,,,,,,,,,
注9）　南蔵院～練馬駅系統を含む,,,,,,,,,
注10） 中落合～新宿駅西口系統（中野坂上経由），西武百貨店～目白五丁目系統（目白駅経由）を含む。,,,,,,,,,
注11)　中83　中野駅～南部高齢者会館、令和5年3月1日付廃止。,,,,,,,,,
資料　　関東バス(株)運輸部,,,,,,,,,
　　　　国際興業(株)運輸事業部,,,,,,,,,
　　　　京王電鉄バス(株)運輸営業部,,,,,,,,,
　　　　西武バス(株)計画部,,,,,,,,,
