目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
４４．完全失業者数･完全失業率の推移（平成22～令和2年）,,,,
年次,完全失業者数,労働力人口,就業者,完全失業率
平成22年,12709,157559,144850,0.08066184730799256
27,6482,146611,140129,0.04421223509832141
令和2年,5780,146135,140355,0.039552468
資料　総務省統計局「令和2年国勢調査　就業状態等基本集計」,,,,
