目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
１１０．中学校数･生徒数･教員数（私立を含む）の推移（令和2～令和6年）,,,,,,,,,,,,,（各年5月1日現在）
年次,学校数,学級数,うち,教員数1),,,職員数1),,,生徒数,,,
,,,"特別支援学級数
1)",総数,男,女,総数,男,女,総数,1年,2年,3年
,区立,,,,,,,,,,,,
令和2年,11,113,9,248,141,107,28,13,15,3558,1214,1186,1158
3,10,113,8,247,136,111,27,12,15,3729,1298,1224,1207
4,10,117,8,252,144,108,25,11,14,3886,1338,1309,1239
5,10,121,8,256,146,110,26,10,16,4027,1348,1354,1325
6,10,127,10,270,152,118,26,10,16,4110,1367,1369,1374
,私立,,,,,,,,,,,,
令和2年,5,69,-,138,85,53,18,8,10,2425,839,817,769
3,5,70,-,140,80,60,19,8,11,2478,834,835,809
4,5,72,-,137,84,53,17,7,10,2520,872,826,822
5,5,77,-,145,85,60,16,7,9,2612,941,860,811
6,5,80,-,153,86,67,17,8,9,2679,903,932,844
注）　特別支援学級数及び男女別教員数・職員数については、集計データを参照。,,,,,,,,,,,,,
資料　東京都総務局統計部人口統計課「学校基本調査報告」,,,,,,,,,,,,,
