目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
１１９．少年非行･犯罪検挙件数の推移（令和元～令和5年）,,,,,,,,,,,,
,総数,凶悪犯,粗暴犯,窃盗犯,,,知能犯,,風俗犯,その他の刑法犯,,
年次,,,,侵入窃盗,非侵入窃盗,,詐欺,横領,,盗品等,占有離脱物横領,その他
,,,,,,うち万引き,,,,,,
令和元年,59,1,9,4,26,9,6,-,-,1,10,3
2,21,-,1,2,11,3,2,-,-,-,-,5
3,31,-,3,-,10,2,14,-,-,-,3,1
4,22,-,4,1,10,2,2,-,-,-,2,3
5,21,0,5,1,5,3,2,-,1,-,4,3
資料　警視庁「警視庁の統計」,,,,,,,,,,,,
