目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
２４．住宅の建て方，住居の種類･住宅の所有の関係別住宅に住む一般世帯数及び一般世帯人員（令和2年10月1日）,,,,,,,,
住居の種類・住宅の所有の関係,総数,一戸建,長屋建,共同住宅,,,,その他
,,,,総数,1・2階建,3～5,6階建以上,
一般世帯数,,,,,,,,
住宅に住む一般世帯,206177,44563,1795,159543,48989,70112,40442,276
主世帯,201700,42867,1729,156852,48090,68956,39806,252
持ち家,67701,40136,583,26838,1773,9352,15713,144
公営・都市再生機構・公社の借家,4529,-,1,4528,-,2658,1870,-
民営の借家,123865,2516,1110,120154,45603,54244,20307,85
給与住宅,5605,215,35,5332,714,2702,1916,23
間借り,4477,1696,66,2691,899,1156,636,24
,,,,,,,,
一般世帯人員,,,,,,,,
住宅に住む一般世帯,339699,104868,3452,230823,58344,104069,68410,556
主世帯,333069,101590,3349,227611,57286,102680,67645,519
持ち家,150611,95505,1252,53506,3189,19718,30599,348
公営・都市再生機構・公社の借家,8148,-,2,8146,-,4585,3561,-
民営の借家,163426,5503,2014,155788,53130,73349,29309,121
給与住宅,10884,582,81,10171,967,5028,4176,50
間借り,6630,3278,103,3212,1058,1389,765,37
資料　総務省統計局「令和2年国勢調査人口等基本集計」,,,,,,,,
