目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
１１２．専修学校･各種学校数･生徒数･教員数の推移（令和2～令和6年）,,,,,,（各年5月1日現在）
年次,専修学校,,,各種学校,,
,学校数,生徒数,教員数（本務者）,学校数,生徒数,教員数（本務者）
令和2年,19,5240,273,5,177,10
3,18,4789,278,5,80,12
4,18,3897,251,5,78,12
5,17,3648,241,5,280,9
6,18,3999,227,5,250,9
資料　東京都総務局統計部人口統計課「学校基本調査報告」,,,,,,
