目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
７２．自動車保有台数（平成31～令和5年度）,,,,,,,,,,,,
,,,,,,,二輪車,,,,,
年度,総数,バス,乗用車,貨物車,特殊用途車,特殊車,,自動二輪,,,原付一種,ミニカー
,,,,,,,計,小型二輪,原付二種,,,
,,,,,,,,,125cc以下,90cc以下,50cc以下,
平成31年度,68800,289,44487,9076,976,145,13545,4186,3301,577,5481,282
令和2年度,67933,303,43876,9091,1007,142,13235,4267,3276,548,5144,279
3,67719,297,43577,9100,986,148,13302,4315,3439,535,5013,309
4,68014,293,43599,9243,1017,159,13366,4409,4850,533,3574,337
5,67790,297,43428,9081,1031,157,13453,4560,3701,533,4659,343
資料　公益財団法人特別区協議会「特別区の統計」,,,,,,,,,,,,
