目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
５４．4階以上及び地階を有する建築物数（令和元～令和5年）,,,,,,,,,,,,,,,,,,,,,,,,
年次,4階以上の建築物数,,,,,,,,,,,,,,,,,,,地階を有する建築物数,,,,
,総数,4階,5階,6階,7階,8階,9階,10階,11階,12階,13階,14階,15階,16階,17階,18階,19階,20階,21階～,総数,地下1階,地下2階,地下3階,地下4階～
令和元年,4499,1923,1086,435,334,255,149,119,79,48,23,27,6,-,-,3,-,-,12,2045,1919,108,12,6
2,4585,1967,1108,436,337,260,151,123,80,50,23,29,6,-,-,3,-,-,12,2063,1934,110,13,6
3,4648,1993,1125,440,336,260,157,128,81,51,25,31,6,-,-,3,-,-,12,2068,1939,109,13,7
4,4702,2024,1131,442,335,262,159,132,83,54,25,32,6,-,-,4,-,1,12,2071,1942,110,13,6
5,4747,2042,1144,439,337,262,164,134,85,54,26,36,6,-,-,4,-,1,13,2065,1936,110,13,6
資料　東京消防庁総務部企画課「東京消防庁統計書」,,,,,,,,,,,,,,,,,,,,,,,,
