目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
３９．産業大分類別新規事業所数，開業率の推移（平成28～令和3年）,,,,,,,,,,,
,,平成28年,,,,,令和3年,,,,
産業大分類,,総数1）,,,廃業事業所,開業率,総数1）,,,廃業事業所,開業率
,,,存続事業所,新設事業所,,,,存続事業所,新設事業所,,
A～R,全産業（Ｓ公務を除く）,12068,10390,2366,2783,0.19605568445475638,11962,8672,3290,3490,0.27503761912723623
A～B,農林漁業,3,3,-,1,0,3,3,-,-,0
C～R,非農林漁業（Ｓ公務を除く）,12065,10769,1296,2199,0.10741815167840862,11959,8669,3290,3490,0.2751066142654068
C,鉱業，採石業，砂利採取業,-,-,-,1,0,-,-,-,-,0
D,建設業,804,748,56,108,0.06965174129353234,821,628,193,178,0.2350791717417783
E,製造業,385,363,22,92,0.05714285714285714,344,264,80,115,0.23255813953488372
F,電気・ガス・熱供給・水道業,3,3,-,-,0,11,3,8,-,0.7272727272727273
G,情報通信業,360,305,55,69,0.1527777777777778,492,249,243,107,0.49390243902439024
H,運輸業，郵便業,184,177,7,27,0.03804347826086957,151,126,25,58,0.16556291390728478
I,卸売業，小売業,2638,2383,255,479,0.09666413949962092,2384,1842,542,820,0.2273489932885906
J,金融業，保険業,129,122,7,23,0.05426356589147287,136,93,43,38,0.3161764705882353
K,不動産業，物品賃貸業,1627,1528,99,296,0.06084818684695759,1888,1304,584,355,0.3093220338983051
L,学術研究，専門・技術サービス業,749,685,64,130,0.08544726301735647,892,527,365,222,0.40919282511210764
M,宿泊業，飲食サービス業,1863,1566,297,426,0.15942028985507245,1525,1157,368,721,0.24131147540983608
N,生活関連サービス業，娯楽業,1142,1009,133,198,0.11646234676007006,1016,826,190,330,0.18700787401574803
O,教育，学習支援業,405,350,55,75,0.13580246913580246,396,292,104,117,0.26262626262626265
P,医療，福祉,1172,994,178,173,0.15187713310580206,1207,901,306,274,0.2535211267605634
Q,複合サービス事業,29,28,1,2,0.034482758620689655,32,29,3,2,0.09375
R,サービス業（他に分類されないもの）,575,508,67,100,0.11652173913043479,664,428,236,153,0.35542168674698793
注）　存続・新設が不詳の事業所を含む。,,,,,,,,,,,
資料　総務省統計局「平成28年経済センサス‐活動調査（産業横断的集計）」,,,,,,,,,,,
　　　総務省統計局「令和3年経済センサス‐活動調査（産業横断的集計）」,,,,,,,,,,,
