目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
１５０．主要選挙党派別得票数･開票状況,,,,,,,,,,,,,,
,,総数,立憲民主党,自由民主党,参政党,無所属,,,,,,,,
衆議院議員選挙〔選挙区〕,得票数,152981,84298,44388,16582,7713,,,,,,,,
R6.10.27,得票率,100,55.1,29.02,10.84,5.04,,,,,,,,
,,総数,自由民主党,立憲民主党,日本共産党,公明党,ファーストの会,れいわ新選組,日本維新の会,参政党,NHK党,諸派,無所属,
参議院議員選挙〔選挙区〕,得票数,152618.998,31661,25606,18499,15608,15006,13585,11248,3490,2356.478,7423.015,8136.505,
R4.7.10,得票率,100,20.75,16.78,12.12,10.23,9.83,8.9,7.37,2.29,1.54,4.86,5.33,
,,総数,立憲民主党,都民ファーストの会,公明党,自由民主党,無所属,,,,,,,
都議会議員選挙,得票数,119209,35749,32743,24364,22527,3826,,,,,,,
R3.7.4,得票率,100,29.99,27.47,20.44,18.9,3.21,,,,,,,
,,総数,自由民主党,立憲民主党,公明党,日本共産党,都民ファーストの会,日本維新の会,育児支援と防災緑地と平らな歩道の中野を作る会,国民民主党,中野・生活者ネットワーク,れいわ新選組,諸派,無所属
区議会議員選挙,得票数,112740.993,21732.018,19486.152,15963.383,13107,8330,5413,3224,2652,2150,1674,3722.832,15286.608
R5.4.23,得票率,100,19.276056935209006,17.283998908897317,14.159342201287869,11.625762423433686,7.388616844983795,4.8012704660140795,2.859651945765637,2.3522943424846368,1.9070259563883745,1.4848192795321575,3.302110351289881,13.559050344713569
注）　得票率については端数処理をしているため、合計が100.00とならない場合がある,,,,,,,,,,,,,,
資料　中野区「選挙の記録」,,,,,,,,,,,,,,
