目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
６２．街路灯の状況（令和2～令和6年）,,,,,（各年4月1日現在）
年次,街路灯,,,,
,総数,蛍光灯,水銀灯,ＬＥＤ灯,ナトリウム灯
令和2年,12329,-,-,12329,-
3,12506,-,-,12506,-
4,12482,-,-,12482,-
5,12498,-,-,12498,-
6,12560,-,-,12560,-
注）　街路灯数は，区道に設置されているもののみである。,,,,,
資料　道路建設課,,,,,
