目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
１３６．区職員数と平均年齢の推移（令和2～令和6年）,,,,,（各年4月1日現在）
,令和2年,令和3年,令和4年,令和5年,令和6年
区職員数,2084,2089,2103,2173,2202
平均年齢（歳）,41.2,40.8,40.4,40.1,40
注）　職員数は，臨時職員・休職者・育児休業中の職員・区から給与を支給されていない他団体等への派遣職員等を除く。,,,,,
資料　中野区「人事行政の運営等の状況の公表」,,,,,
