目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
１４６．都知事選挙投票･開票状況（平成28～令和6年）,,,,,,,,,
執行年月日,有権者数,,,投票者数,,,投票率（％）,,
,総数,男,女,総数,男,女,平均,男,女
H28.7.31,274278,137843,136435,159467,76986,82481,58.14,55.85,60.45
R2.7.5,278345,139731,138614,155211,74972,80239,55.76,53.65,57.89
R6.7.7,279279,140152,139127,169138,84167,84971,60.56,60.05,61.07
資料　中野区「選挙の記録」,,,,,,,,,
