目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
１１．自然動態（令和2～令和6年）,,,,,,,,,,,
（単位：人）,,,,,,,,,,,
年次,出生,,,死亡,,,自然増加数,,,婚姻,離婚
,総数,男,女,総数,男,女,総数,男,女,,
令和2年,2530,1320,1210,2833,1457,1376,-303,-137,-166,2471,561
3,2481,1309,1172,2963,1557,1406,△ 482,△ 248,△ 234,2264,441
4,2334,1194,1140,3092,1624,1468,△ 758,△ 430,△ 328,2405,459
5,2238,1143,1095,3031,1520,1511,△ 793,△ 377,△ 416,2550,489
6,2188,1095,1093,3098,1582,1516,-910,-487,-423,2406,475
1月,205,96,109,309,146,163,-104,-50,-54,205,42
2,133,71,62,265,136,129,-132,-65,-67,180,39
3,161,87,74,269,146,123,-108,-59,-49,310,55
4,189,96,93,252,130,122,-63,-34,-29,149,25
5,198,100,98,241,126,115,-43,-26,-17,233,31
6,163,80,83,227,116,111,-64,-36,-28,137,30
7,217,96,121,251,121,130,-34,-25,-9,188,42
8,178,90,88,263,140,123,-85,-50,-35,211,43
9,179,101,78,241,121,120,-62,-20,-42,141,41
10,206,100,106,282,119,163,-76,-19,-57,174,42
11,164,84,80,223,121,102,-59,-37,-22,273,37
12,195,94,101,275,160,115,-80,-66,-14,205,48
注）　婚姻・離婚は非本籍分も含む。,,,,,,,,,,,
資料　戸籍住民課,,,,,,,,,,,
