目次へ,Unnamed: 1
５５．区立小･中学校耐震化率（平成28年4月1日）,
地域,耐震化率
千代田区,1
中央区,1
港区,1
新宿区,1
文京区,1
台東区,1
墨田区,0.978
江東区,1
品川区,1
目黒区,1
大田区,1
世田谷区,1
渋谷区,1
中野区,1
杉並区,1
豊島区,1
北区,1
荒川区,1
板橋区,1
練馬区,1
足立区,1
葛飾区,1
江戸川区,1
資料　中野区「予算特別委員会資料」,
