目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3
１１８．不登校児童･生徒数の推移（令和元～令和5年度）,,,
年度,小学校,中学校,合計
令和元年度,85,161,246
2,125,187,312
3,168,191,359
4,196,232,428
5,228,241,469
注）　「不登校児童・生徒」とは、「児童生徒の問題行動等生徒指導上の諸問題に関する調査」（翌年調査）及び「長期欠席の幼児・児童・生徒調査」において、,,,
　　　理由別長期欠席者数（前年度間30日以上の欠席者）の項目で、「不登校」を理由にあげた児童・生徒である。,,,
資料　中野区「決算特別委員会資料」,,,
