目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
３８．中小企業融資状況（令和元～令和5年度）,,,,,,,
（単位：金額万円）,,,,,,,
年度,申込数,,融資数,,償還金額,融資現在高,
,件数,金額,件数,金額,,件数,金額
令和元年,544,475061,515,426735,393325,2198,980743
2,1192,1375179,1035,1127100,542627,2422,1538801
3,670,527930,529,378586,413491,2556,1531895
4,597,584297,497,382143,415326,2668,1497154
5,542,527529,455,372679,453654,2738,1406490
資料　産業振興課,,,,,,,
