目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
１３７．分限･懲戒処分数の推移（平成31～令和5年度）,,,,,
種類,平成31年度,令和2年度,令和3年度,令和4年度,令和5年度
分限処分,41,36,39,37,47
懲戒処分,3,-,-,-,-
資料　中野区「人事行政の運営等の状況の公表」,,,,,
