目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
１２５．財政指標の推移（令和元～令和5年度）,,,,,
,令和元年度,令和2年度,令和3年度,令和4年度,令和5年度
経常収支比率（％）,77.7,80.3,77.1,72.7,71.2
実質収支比率（％）,3.4,2.9,5.5,7.4,3.8
財政力指数,0.51,0.51,0.51,0.51,0.49
実質公債費比率（％）,△2.4,-2.8,-3.5,-4,-3.5
資料　中野区「財政白書」,,,,,
