目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
６１．公園･児童遊園及び公衆便所の状況（令和2～令和6年）,,,,,,,,（各年4月1日現在）
,公園,,,,児童遊園,,公衆便所,
年次,総数,,区立,,,,,
,施設数,面積（㎡）,施設数,面積（㎡）,施設数,面積（㎡）,施設数,面積（㎡）
令和2年,173,465337,168,458937,7,7157,2,39
3,174,481101,169,474701,7,7156,2,39
4,174,481030,169,474630,7,7156,2,39
5,174,481030,169,474630,7,7156,2,39
6,172,478936,169,474486,7,7156,2,39
"注）　総数には公社とURが開発した団地内の公園（3か所、面積4,451㎡）も計上している",,,,,,,,
　　　面積は哲学堂公園の新宿区域を含む,,,,,,,,
      公衆便所の面積は清掃面積,,,,,,,,
資料　公園課,,,,,,,,
