目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
１２０．区立図書館個人貸出者数（令和元～令和5年度）,,,,,,,,,
（単位：人）,,,,,,,,,
年度,総数,中央,野方,南台,鷺宮,江古田,上高田,中野東,分室合計
令和元年度,570944,174791,64805,48755,71200,59270,35059,-,-
2,576868,169154,68461,50418,69866,62246,36235,-,-
3,603530,222785,80730,61406,83914,77302,47265,30128,31969
4,758872,209342,75618,59355,79550,77883,34294,185669,37161
5,800830,235110,74965,57266,81762,77335,42247,193130,39015
注）　本町・東中野図書館は令和3年10月31日に閉館。中野東図書館は令和4年2月1日に開館。,,,,,,,,,
注）　分室合計は、みなみの小分室、美鳩小分室、中野第一小分室の合計。,,,,,,,,,
資料　中野区立図書館「中野の図書館」,,,,,,,,,
