目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
１４５．参議院議員選挙投票･開票状況〔選挙区〕（平成28～令和4年）,,,,,,,,,
執行年月日,有権者数,,,投票者数,,,投票率（％）,,
,総数,男,女,総数,男,女,平均,男,女
H28.7.10,276107,138853,137254,156139,77459,78680,56.55,55.78,57.32
R1.7.21,281223,141449,139774,142785,71322,71463,50.77,50.42,51.13
R4.7.10,282197,141591,140606,156100,77136,78964,55.32,54.48,56.16
資料　中野区「選挙の記録」,,,,,,,,,
