目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
１４１．区議会議員党派別年齢別構成（令和7年1月1日）,,,,,,,
年齢,総数,"立憲・国民・ネット・
無所属議員団","自由民主党
議員団","公明党
議員団","日本共産党
議員団","都民ファーストの会
中野区議団",無所属
総数,42,11,8,8,5,3,7
25～29歳,1,1,-,-,-,-,-
30～39,4,-,1,-,1,1,1
40～49,13,6,2,1,2,-,2
50～59,13,2,1,4,2,1,3
60～69,11,2,4,3,-,1,1
70～79,-,-,-,-,-,-,-
資料　区議会事務局,,,,,,,
