目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
７３．区内主要道路交通量（令和3～令和5年度）,,,,,,
道路名,測定地点,車線数,測定年度,交通量,,
,,,,大型車,小型車,二輪車
千川通り,上鷺宮3-17,2車線,令和3年度,912,12570,1374
目白通り,江原町3-5,4車線,令和4年度,4428,28002,1980
新青梅街道,江古田4-3,2車線,令和5年度,1470,14358,1644
中杉通り,鷺宮3-47,2車線,令和3年度,846,5082,588
環七通り,大和町1-12,4車線,令和5年度,12180,54222,4416
早稲田通り,中野5-4,2車線,令和5年度,960,11274,1416
大久保通り,中野2-17,2車線,令和4年度,1008,7554,642
山手通り,中央2-18,4車線,令和4年度,3786,33486,2826
青梅街道,本町4-18,4車線,令和4年度,3210,33690,2718
本郷通り,弥生町2-41,2車線,令和5年度,762,6588,630
方南通り,弥生町4-20,2車線,令和5年度,1434,11604,1236
中野通り,中野5-68,4車線,令和5年度,1788,10410,1332
資料　中野区「自動車騒音振動交通量調査」,,,,,,
