目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
２３．国籍，男女別外国人数[周辺区]（令和2年10月1日）,,,,,,,,,,,,,,,,,,
,総数,,,,,,男,,,,,,女,,,,,
地域,総数1）,韓国，朝鮮,中国,アメリカ,フィリピン,その他,"総数
1）",韓国，朝鮮,中国,アメリカ,フィリピン,その他,総数1）,韓国，朝鮮,中国,アメリカ,フィリピン,その他
,,,,,,,,,,,,,,,,,,
東京都,483372,79414,195740,16507,27531,164180,233831,37333,87728,11288,5958,91524,249541,42081,108012,5219,21573,72656
中野区,15391,2548,6380,419,469,5575,7795,1272,3012,299,103,3109,7596,1276,3368,120,366,2466
杉並区,14107,2354,5593,676,456,5028,6929,1113,2453,476,89,2798,7178,1241,3140,200,367,2230
豊島区,25573,2390,12718,421,536,9508,12718,1156,5951,286,99,5226,12855,1234,6767,135,437,4282
板橋区,23049,1716,7152,169,696,13316,10722,808,2911,111,126,6766,12327,908,4241,58,570,6550
練馬区,18129,3966,8476,483,1065,4139,8365,1851,3683,318,236,2277,9764,2115,4793,165,829,1862
新宿区,27216,7388,10054,732,569,8473,13416,3562,4492,518,120,4724,13800,3826,5562,214,449,3749
渋谷区,8704,1392,2150,1193,238,3731,4794,623,879,840,53,2399,3910,769,1271,353,185,1332
注）　無国籍及び国名「不詳」を含む。,,,,,,,,,,,,,,,,,,
資料　総務省統計局「令和2年国勢調査人口等基本集計」,,,,,,,,,,,,,,,,,,
