目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
１３５．区有財産の推移（令和元～令和5年度）,,,,,,,,
年度,土地,建物（延面積）,無体財産権,有価証券,出資による権利,物品,債権,基金
,㎡,㎡,件,株,千円,点,千円,千円
令和元年度,1010252.92,453105.59,18,14469,47308,2452,2774754,70250580
2,1026836.65,480417.51,21,14469,47308,2722,2769672,62848972
3,1034304.15,503516.72,21,14469,47308,2960,2758038,66924749
4,1034792.7,501955.15,21,14469,47308,2949,2765953,69158469
5,1014586,536308.04,22,14469,47308,3076,1803725,79266064
注）　物品については50万円以上のもの,,,,,,,,
資料　中野区「各会計歳入歳出決算書」,,,,,,,,
