目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
１２４．登録･指定文化財数（令和6年4月1日）,,,,,
（単位：件）,,,,,
,中野区登録,中野区指定,東京都指定,国登録,国指定
文化財数,67,54,3,4,1
資料　中野区「区民部事業概要」,,,,,
