目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
１６．年次別人口の推移（大正9～令和2年）,,,,,
年次,世帯数,人口,,,摘要
,,総数,男,女,
大正9年,5577,29198,15834,13364,第1回国勢調査
14,18433,85294,45449,39845,第2回国勢調査
昭和5年,28583,134098,70911,63187,第3回国勢調査
10,36289,178383,92435,85948,第4回国勢調査
15,45713,214117,110010,104107,第5回国勢調査
22,41623,168215,84602,83613,第6回国勢調査
25,53296,213461,107311,106150,第7回国勢調査
30,71536,289165,148391,140774,第8回国勢調査
35,105628,351360,182235,169125,第9回国勢調査
40,125671,376697,192516,184181,第10回国勢調査
45,140406,378723,192898,185825,第11回国勢調査
50,152925,373075,189047,184028,第12回国勢調査
55,152905,345733,173192,172541,第13回国勢調査
60,153924,335936,168410,167526,第14回国勢調査
平成2年,153966,319687,159701,159986,第15回国勢調査
7,154518,306581,152091,154490,第16回国勢調査
12,165900,309526,154865,154661,第17回国勢調査
17,172786,310627,155143,155484,第18回国勢調査
22,184267,314750,157204,157546,第19回国勢調査
27,196132,328215,165382,162833,第20回国勢調査
令和2年,208093,344880,172525,172355,第21回国勢調査
