目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
２．農地転用状況（平成31～令和5年）,,,,,,
（単位：面積㎡）,,,,,,
年次,総数,,農地法4条による農地転用,,農地法5条による農地転用,
,件数,面積,件数,面積,件数,面積
平成31年,31,10611.79,16,5741.36,15,4870.43
令和2年,26,6878.66,17,4432.65,9,2446.01
3,13,5000.3,1,168,12,4832.3
4,9,2261,4,1266,5,995
5,14,4431,11,3083,3,1348
注）　農地法4条：農地以外の土地にするため受理したもの,,,,,,
　　　農地法5条：農地以外の土地にするため受理したもので，所有権等権利の移転を伴うもの,,,,,,
資料　産業振興課,,,,,,
