目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
１２２．社会体育施設利用状況の推移（令和元～令和5年度）,,,,,,,,,,,,
年度,上高田運動施設,,哲学堂運動施設,,妙正寺川公園運動広場1),中野区立総合体育館2),鷺宮スポーツ・コミュニティプラザ3),中部スポーツ・コミュニティプラザ4),南部スポーツ・コミュニティプラザ4),九中（中野中）プール,二中プール,多目的運動広場5）
,野球場,テニス場,野球場,テニス場,,,,,,,,
,件,件,件,件,件,人,人,人,人,人,人,人
令和元年度,5015,15049,1078,25413,263,-,158717,60716,111405,24466,12787,11303
2,3953,13525,1968,21276,219,92737,109009,46315,79540,8462,5593,47712
3,4735,15366,3910,25041,256,193408,137705,62601,103453,10186,2925,69515
4,4655,15437,3959,25960,292,371253,160282,68814,120814,22443,9227,64510
5,4826,16056,4112,10975,271,384675,149592,75842,135063,24944,7547,61376
注1）　妙正寺川公園運動広場は中野区と新宿区による共同設置。毎月1日～15日の中野区利用日の件数を算出。,,,,,,,,,,,,
注2）　令和2年度10月から中野区立総合体育館が開設。,,,,,,,,,,,,
注3）　令和元年度に鷺宮体育館は鷺宮スポーツ・コミュニティプラザに転換。,,,,,,,,,,,,
注4）　中部及び南部スポーツ・コミュニティプラザは平成30年度から指定管理者による管理運営を開始。,,,,,,,,,,,,
注5）　平成30年度に少年のスポーツ広場は多目的運動広場と名称変更。令和2年6月から指定管理者による管理運営を開始。,,,,,,,,,,,,
資料　スポーツ振興課,,,,,,,,,,,,
