目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
１１１．高等学校数･生徒数･教員数（私立を含む）の推移（令和2～令和6年）,,,,,,,,,（各年5月1日現在）
年次,学校数,教員数1),,,生徒数,,,,
,,総数,男,女,総数,1年,2年,3年,4年
,都立,,,,,,,,
令和2年,5,273,179,94,3499,1170,1155,1075,99
3,5,269,176,93,3412,1059,1146,1103,104
4,5,256,162,94,3274,1049,1028,1106,91
5,5,253,163,90,3213,1071,1024,994,124
6,5,254,157,97,3238,1128,1026,968,116
,私立,,,,,,,,
令和2年,7,341,276,65,5869,1885,1994,1990,-
3,7,345,273,72,5764,1949,1834,1981,-
4,7,338,257,81,5752,2088,1866,1798,-
5,7,331,255,76,5881,2059,1994,1828,-
6,7,328,255,73,6021,2106,1966,1949,-
注）　男女別教員数は集計データを参照。,,,,,,,,,
資料　東京都総務局統計部人口統計課「学校基本調査報告」,,,,,,,,,
