目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
１０５．保育園待機児童数（令和2～令和6年度）,,,,,,,,,,
年次,令和2年度,,令和3年度,,令和4年度,,令和5年度,,令和6年度,
,定員,待機児数,定員,待機児数,定員,待機児数,定員,待機児数,定員,待機児数
0歳児,684,105,707,103,713,67,705,54,698,54
1,1193,268,1245,238,1304,139,1331,185,1313,201
2,1292,93,1357,67,1412,41,1442,38,1430,47
3,1367,39,1434,42,1518,12,1536,6,1543,20
4,1339,19,1407,13,1514,8,1513,7,1542,6
5,1311,14,1366,10,1485,3,1486,8,1515,7
注）　待機児数は旧定義,,,,,,,,,,
資料　中野区「決算特別委員会資料」,,,,,,,,,,
