"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","都道府県","市区町村","連絡先_電話番号_","URL","備考","GIS用住所","経度","緯度","分類"
"131148","131148000036","東京都中野区","千代田町会","チヨダチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000037","東京都中野区","宮里町会","ミヤザトチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000038","東京都中野区","西町町会","ニシマチチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000039","東京都中野区","鍋横町会","ナベヨコチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000040","東京都中野区","新中野町会","シンナカノチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000041","東京都中野区","本町通六丁目町会","ホンチョウドオリロクチョウメチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000042","東京都中野区","上町町会","カミチョウチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000043","東京都中野区","仲町町会","ナカチョウチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000044","東京都中野区","桃園町会","モモゾノチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000045","東京都中野区","宮桃町会","ミヤモモチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000046","東京都中野区","宮三町会","ミヤサンチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000047","東京都中野区","中野駅前南口町会","ナカノエキマエナンコウチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000048","東京都中野区","橋場町会","ハシバチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000049","東京都中野区","囲町自治会","カコイチョウジチカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000050","東京都中野区","東中野五丁目小滝町会","ヒガシナカノゴチョウメオタキチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000051","東京都中野区","東中野四丁目町会","ヒガシナカノヨンチョウメチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000052","東京都中野区","文園町会","フミゾノチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000053","東京都中野区","天神自治会","テンジンジチカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000054","東京都中野区","打越町会","ウチコシチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000055","東京都中野区","昭一文化会","ショウイチブンカカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000056","東京都中野区","昭二町会","ショウニチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000057","東京都中野区","昭三自治会","ショウサンジチカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000058","東京都中野区","桜山町会","サクラヤマチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000059","東京都中野区","上高田東町会","カミタカダヒガシチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000060","東京都中野区","上高田共和会","カミタカダキョウワカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000061","東京都中野区","上高田北町会","カミタカダキタチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000062","東京都中野区","上高田隣人協力会","カミタカダリンジンキョウリョクカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000063","東京都中野区","上高田高層団地町会","カミタカダコウソウダンチチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000064","東京都中野区","都営上高田アパート第１自治会","トエイカミタカダアパートダイイチジチカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000065","東京都中野区","上高田二丁目町会","カミタカダニチョウメチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
